typeIndex,name,confidence
1170,(unclaimed),unclaimed
1173,(unclaimed),unclaimed
1175,(unclaimed),unclaimed
1177,(unclaimed),unclaimed
1181,(unclaimed),unclaimed
1185,(unclaimed),unclaimed
1186,(unclaimed),unclaimed
1188,(unclaimed),unclaimed
1189,(unclaimed),unclaimed
1192,(unclaimed),unclaimed
1195,(unclaimed),unclaimed
1196,(unclaimed),unclaimed
1197,(unclaimed),unclaimed
1201,(unclaimed),unclaimed
1203,(unclaimed),unclaimed
1205,(unclaimed),unclaimed
1207,(unclaimed),unclaimed
1215,(unclaimed),unclaimed
1220,(unclaimed),unclaimed
1223,(unclaimed),unclaimed
1225,(unclaimed),unclaimed
1227,(unclaimed),unclaimed
1229,(unclaimed),unclaimed
1230,(unclaimed),unclaimed
1232,(unclaimed),unclaimed
1234,(unclaimed),unclaimed
1239,(unclaimed),unclaimed
1241,(unclaimed),unclaimed
1243,(unclaimed),unclaimed
1245,(unclaimed),unclaimed
1246,(unclaimed),unclaimed
1253,(unclaimed),unclaimed
1254,(unclaimed),unclaimed
1256,(unclaimed),unclaimed
1259,(unclaimed),unclaimed
1260,(unclaimed),unclaimed
1264,(unclaimed),unclaimed
1266,(unclaimed),unclaimed
1268,(unclaimed),unclaimed
1269,(unclaimed),unclaimed
